year,UsaGdpPerCapita,UkGdpPerCapita
1800,2960,3890
1801,3010,3900
1802,3060,3910
1803,3010,3780
1804,3010,3720
1805,3070,3890
1806,3130,3820
1807,3160,4020
1808,2940,3780
1809,3080,3850
1810,3170,4040
1811,3230,3950
1812,3180,3730
1813,3210,3870
1814,3270,3720
1815,3260,4060
1816,3130,3780
1817,3130,3780
1818,3130,3720
1819,3130,3610
1820,3110,3840
1821,3160,3850
1822,3240,3850
1823,3210,3910
1824,3300,4060
1825,3370,4090
1826,3390,3820
1827,3410,4070
1828,3410,4020
1829,3290,4000
1830,3530,4130
1831,3750,4120
1832,3890,4200
1833,4020,4180
1834,3830,4230
1835,3980,4490
1836,4030,4580
1837,3910,4480
1838,3870,4610
1839,4060,4510
1840,3860,4670
1841,3780,4530
1842,3750,4430
1843,3810,4590
1844,4010,4940
1845,4080,5100
1846,4100,5040
1847,4210,4920
1848,4320,5070
1849,4200,5140
1850,4220,5040
1851,4390,5200
1852,4620,5380
1853,4930,5500
1854,4950,5710
1855,4840,5520
1856,4940,5830
1857,4830,5830
1858,4860,5670
1859,4990,5850
1860,5120,5910
1861,5010,5840
1862,5170,5540
1863,5500,6000
1864,5680,6110
1865,5390,6200
1866,5350,6340
1867,5520,6310
1868,5600,6550
1869,5750,6550
1870,5580,6780
1871,5720,6740
1872,5800,6710
1873,5950,6790
1874,5770,6830
1875,5930,6920
1876,5870,6900
1877,5930,6890
1878,6040,6830
1879,6640,6730
1880,7270,6970
1881,7340,7140
1882,7620,7290
1883,7630,7280
1884,7580,7230
1885,7470,7130
1886,7520,7170
1887,7690,7390
1888,7500,7660
1889,7800,7990
1890,7750,7960
1891,7920,7880
1892,8510,7620
1893,7940,7540
1894,7570,7960
1895,8320,8130
1896,8000,8380
1897,8610,8400
1898,8630,8720
1899,9250,8990
1900,9340,8830
1901,10200,8740
1902,10100,8880
1903,10400,8700
1904,10100,8670
1905,10600,8840
1906,11600,9050
1907,11600,9130
1908,10400,8670
1909,11400,8790
1910,11200,8970
1911,11300,9150
1912,11600,9250
1913,11800,9550
1914,10600,9450
1915,10700,10000
1916,11900,10100
1917,11400,10100
1918,12200,10000
1919,12100,8840
1920,11800,8160
1921,11200,7900
1922,11600,8590
1923,12900,8820
1924,12900,9120
1925,13000,9530
1926,13500,9150
1927,13400,9850
1928,13300,9930
1929,13900,10200
1930,12400,10100
1931,11500,9520
1932,9740,9540
1933,9360,9780
1934,10100,10400
1935,11300,10700
1936,12300,11200
1937,13100,11500
1938,12200,11600
1939,13000,11600
1940,14000,12700
1941,15800,13900
1942,17300,14200
1943,18700,14300
1944,19800,13700
1945,19200,13100
1946,17200,12500
1947,16600,12200
1948,17100,12500
1949,16500,12900
1950,17700,12900
1951,18700,13200
1952,19100,13100
1953,19700,13600
1954,19200,14100
1955,20200,14600
1956,20200,14700
1957,20200,14900
1958,19700,14800
1959,20800,15300
1960,21000,16000
1961,21100,16400
1962,22000,16500
1963,22500,17000
1964,23500,17800
1965,24600,18100
1966,25900,18400
1967,26200,18700
1968,27100,19400
1969,27600,19700
1970,27300,20100
1971,27700,20500
1972,28800,21100
1973,30100,22500
1974,29700,22200
1975,29300,22200
1976,30500,22800
1977,31500,23300
1978,32800,24100
1979,33500,24800
1980,33100,24400
1981,33500,24000
1982,32500,24500
1983,33500,25300
1984,35500,25900
1985,36500,26800
1986,37300,27900
1987,38200,29200
1988,39400,30600
1989,40300,31200
1990,40400,31200
1991,39900,30800
1992,40700,30800
1993,41300,31500
1994,42400,32600
1995,43000,33400
1996,44100,34100
1997,45500,35700
1998,47000,36700
1999,48700,37700
2000,50100,38900
2001,50100,39600
2002,50500,40200
2003,51500,41300
2004,53000,42000
2005,54400,42800
2006,55400,43600
2007,55900,44200
2008,55300,43800
2009,53400,41600
2010,54300,42100
2011,54800,42400
2012,55600,42800
2013,56200,43300
2014,57200,44200
2015,58500,45000
2016,59100,45700
2017,60100,46400
2018,61600,46900
2019,62600,47400
2020,60000,42800
2021,63200,45700
2022,65300,47200
2023,66500,47500
2024,67100,48000
2025,67900,48900
2026,68700,49600
2027,69500,50200
2028,70400,50800
2029,71400,51500
2030,72400,52200
2031,73600,53100
2032,75000,54000
2033,76400,55100
2034,78000,56200
2035,79600,57400
2036,81300,58600
2037,83000,59800
2038,84800,61100
2039,86600,62400
2040,88500,63800
2041,90400,65100
2042,92300,66500
2043,94300,68000
2044,96400,69400
2045,98400,70900
2046,101000,72500
2047,103000,74000
2048,105000,75600
2049,107000,77200
2050,110000,78900
